"","New domestic autos","New foreign autos","New light trucks","Net transactions in used autos","Used auto margin","Net transactions in used trucks","Used truck margin","Beef and veal","Pork","Poultry","Household cleaning products","Household paper products","Hair, dental, shaving, and miscellaneous personal care products except electrical products","Cosmetic / perfumes / bath / nail preparations and implements"
"1983-01-01",69.647,69.644,64.389,66.107,34.323,66.192,73.007,40.236,57.07,47.486,60.01,44.695,72.404,57.829
"1983-02-01",69.85,69.847,64.72,66.545,34.364,66.63,73.496,40.299,57.522,48.11,60.099,44.761,72.892,58.453
"1983-03-01",69.986,69.982,64.854,66.838,35.107,66.923,73.833,40.323,57.484,48.025,60.425,44.644,73.164,58.61
"1983-04-01",70.113,70.11,64.856,67.134,35.778,67.22,74.139,40.795,56.479,47.339,60.815,44.62,73.798,58.41
"1983-05-01",70.252,70.249,64.923,67.427,36.238,67.513,74.469,41.308,55.371,47.557,60.725,44.465,73.917,58.211
"1983-06-01",70.387,70.384,64.99,68.143,36.945,68.23,75.262,41.33,54.102,47.878,60.93,44.35,74.334,59.54
"1983-07-01",70.515,70.512,64.989,69.211,37.536,69.299,76.453,41.185,52.512,49.005,60.833,44.501,74.6,59.635
"1983-08-01",70.794,70.791,65.257,70.557,37.64,70.647,77.923,40.636,51.676,49.525,60.744,44.391,74.428,59.556
"1983-09-01",71.068,71.064,65.727,71.831,37.928,71.922,79.33,40.576,51.376,50.448,61.069,44.32,74.69,59.413
"1983-10-01",71.273,71.27,66.06,72.895,38.443,72.988,80.502,40.395,50.918,49.255,60.857,44.297,75.034,59.159
"1983-11-01",71.406,71.403,66.195,74.094,38.675,74.189,81.836,39.926,50.351,49.724,61.001,44.537,75.893,59.608
"1983-12-01",71.537,71.534,66.395,74.725,37.916,74.82,82.519,39.461,50.371,51.697,61.03,44.692,75.861,59.934
"1984-01-01",71.741,71.738,66.663,75.39,37.535,75.486,83.273,40.788,52.102,53.571,61.233,44.754,75.983,60.032
"1984-02-01",71.805,71.801,66.864,75.35,38.133,75.446,83.225,41.664,52.177,55.487,61.383,44.688,76.316,60.238
"1984-03-01",72.009,72.006,67.064,76.429,37.74,76.526,84.424,41.522,52.356,54.9,61.167,44.705,75.628,59.984
"1984-04-01",72.213,72.21,67.332,77.575,38.05,77.674,85.683,41.627,53.075,54.611,61.256,45.127,75.747,60.662
"1984-05-01",72.276,72.273,67.466,78.865,39.26,78.965,87.095,41.24,53.038,53.523,61.28,45.189,75.865,60.522
"1984-06-01",72.409,72.406,67.667,79.585,39.491,79.686,87.905,40.611,52.952,53.888,61.663,45.472,75.836,61.084
"1984-07-01",72.613,72.61,67.801,79.961,39.941,80.063,88.302,40.268,52.919,54.247,61.693,45.627,76.401,61.475
"1984-08-01",72.818,72.815,68.135,80.27,40.335,80.372,88.662,40.574,53.259,53.064,61.538,45.645,76.59,61.099
"1984-09-01",72.951,72.948,68.403,80.157,39.809,80.259,88.513,40.228,52.481,53.178,61.681,45.883,76.71,61.603
"1984-10-01",73.009,73.006,68.671,80.18,39.481,80.282,88.566,40.086,52.29,52.392,61.831,46.171,76.827,61.754
"1984-11-01",73.143,73.139,68.671,80.137,39.276,80.239,88.517,40.191,52.096,52.108,62.213,46.144,77.384,61.731
"1984-12-01",73.211,73.207,68.671,80.094,38.7,80.196,88.446,40.78,52.914,52.274,62.596,46.03,77.282,61.882
"1985-01-01",73.693,73.689,69.206,80.117,38.374,80.219,88.484,40.804,53.094,53.083,63.038,46.181,77.471,61.858
"1985-02-01",74.035,74.032,69.742,80.97,38.47,81.073,89.416,40.663,53.38,53.594,63.182,46.464,77.882,61.952
"1985-03-01",74.239,74.236,70.21,81.201,38.589,81.305,89.694,40.603,53.664,53.012,63.147,46.746,78.15,61.991
"1985-04-01",74.372,74.369,70.21,80.734,38.465,80.837,89.163,40.34,52.886,52.828,62.992,47.116,78.483,62.022
"1985-05-01",74.506,74.502,70.277,79.64,38.878,79.742,87.959,39.635,52.537,52.047,62.897,47.178,78.307,62.464
"1985-06-01",74.709,74.706,70.478,78.831,39.3,78.931,87.064,39.372,51.974,52.553,63.16,47.108,78.429,62.503
"1985-07-01",74.773,74.769,70.612,78.09,39.309,78.19,86.241,38.949,51.945,52.222,63.07,47.085,78.615,62.884
"1985-08-01",74.978,74.974,70.946,77.695,39.781,77.794,85.813,38.529,51.489,51.99,63.331,47.014,78.512,63.498
"1985-09-01",75.182,75.179,71.147,77.507,40.058,77.605,85.611,38.388,51.086,52.449,63.771,46.988,78.851,63.594
"1985-10-01",75.31,75.307,71.415,77.534,40.018,77.633,85.626,38.695,50.949,52.019,63.916,47.227,78.966,63.917
"1985-11-01",75.513,75.509,71.549,77.624,39.764,77.723,85.733,39.808,52.396,52.572,64.296,47.026,78.865,63.779
"1985-12-01",75.509,75.506,71.816,77.923,40.223,78.022,86.06,40.796,52.679,53.429,64.967,47.084,79.641,63.409
"1986-01-01",75.924,75.92,72.017,77.946,39.05,78.046,86.077,40.453,53.643,52.847,65.466,46.971,80.266,64.08
"1986-02-01",76.126,76.122,72.084,77.278,38.518,77.377,85.358,39.953,53.873,52.908,65.844,46.858,80.308,64.52
"1986-03-01",76.331,76.327,72.352,76.541,38.442,76.639,84.54,39.772,53.734,52.776,65.397,46.703,80.713,64.551
"1986-04-01",76.673,76.669,72.687,75.598,38.859,75.695,83.488,38.989,53.858,52.146,65.598,46.415,80.828,64.759
"1986-05-01",77.364,77.361,73.49,74.939,39.625,75.034,82.759,38.808,53.774,52.851,64.733,46.608,80.799,64.909
"1986-06-01",77.923,77.92,74.159,74.549,40.95,74.644,82.329,38.792,53.162,53.996,65.048,46.667,80.336,64.83
"1986-07-01",78.266,78.263,74.627,74.162,42.189,74.257,81.905,39.175,56.063,57.99,65.248,46.859,80.453,64.691
"1986-08-01",78.47,78.467,74.761,73.769,43.453,73.863,81.474,39.639,58.024,61.486,64.976,46.877,81.073,64.953
"1986-09-01",78.669,78.665,74.761,73.937,44.548,74.031,81.655,39.824,58.509,60.119,65.236,46.938,80.538,65.105
"1986-10-01",79.012,79.008,74.494,73.959,45.67,74.053,81.691,40.006,59.102,59.684,65.322,47.09,81.087,65.368
"1986-11-01",79.635,79.631,74.761,73.985,46.748,74.08,81.71,40.55,59.9,59.007,65.346,47.109,81.277,64.768
"1986-12-01",79.912,79.908,74.761,73.462,47.766,73.556,81.14,40.808,60.807,58.184,65.776,47.297,81.175,64.86
"1987-01-01",80.294,80.29,74.828,73.248,47.774,73.341,80.893,41.288,59.886,57.309,66.197,47.245,81.492,65.392
"1987-02-01",79.414,79.41,74.627,73.84,49.944,73.934,81.555,40.951,59.776,56.928,66.908,47.396,81.597,65.638
"1987-03-01",79.327,79.323,74.561,75.215,52.274,75.311,83.074,41.23,59.51,56.184,67.256,47.349,81.63,65.496
"1987-04-01",79.806,79.802,74.694,76.5,54.575,76.598,84.487,41.661,59.953,55.424,67.204,47.268,82.019,65.496
